Category	Nutrient	Target population	Age	Gender	AI	AR	PRIs	RI	UL	Safe and adequate intake
Energy	Energy	Infants	6 months	Male	NA 	2.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Infants	7 months	Male	NA 	2.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Infants	8 months	Male	NA 	2.8 MJ/day	NA 	NA 	NA 	
Energy	Energy	Infants	9 months	Male	NA 	2.9 MJ/day	NA 	NA 	NA 	
Energy	Energy	Infants	10 months	Male	NA 	3.0 MJ/day	NA 	NA 	NA 	
Energy	Energy	Infants	11 months	Male	NA 	3.1 MJ/day	NA 	NA 	NA 	
Energy	Energy	Infants	6 months	Female	NA 	2.3 MJ/day	NA 	NA 	NA 	
Energy	Energy	Infants	7 months	Female	NA 	2.4 MJ/day	NA 	NA 	NA 	
Energy	Energy	Infants	8 months	Female	NA 	2.5 MJ/day	NA 	NA 	NA 	
Energy	Energy	Infants	9 months	Female	NA 	2.6 MJ/day	NA 	NA 	NA 	
Energy	Energy	Infants	10 months	Female	NA 	2.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Infants	11 months	Female	NA 	2.8 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	1 year PAL=1.4	Male	NA 	3.3 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	2 years PAL=1.4	Male	NA 	4.3 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	3 years PAL=1.4	Male	NA 	4.9 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	4 years PAL=1.4	Male	NA 	5.3 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	4 years PAL=1.6	Male	NA 	6 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	4 years PAL=1.8	Male	NA 	6.8 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	5 years PAL=1.4	Male	NA 	5.6 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	5 years PAL=1.6	Male	NA 	6.4 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	5 years PAL=1.8	Male	NA 	7.2 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	6 years PAL=1.4	Male	NA 	5.9 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	6 years PAL=1.6	Male	NA 	6.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	6 years PAL=1.8	Male	NA 	7.6 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	7 years PAL=1.4	Male	NA 	6.3 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	7 years PAL=1.6	Male	NA 	7.2 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	7 years PAL=1.8	Male	NA 	8.1 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	8 years PAL=1.4	Male	NA 	6.7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	8 years PAL=1.6	Male	NA 	7.6 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	8 years PAL=1.8	Male	NA 	8.6 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	9 years PAL=1.4	Male	NA 	7 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	9 years PAL=1.6	Male	NA 	8.1 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	9 years PAL=1.8	Male	NA 	9.1 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	10 years PAL=1.6	Male	NA 	8.1 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	10 years PAL=1.8	Male	NA 	9.1 MJ/day	NA 	NA 	NA 	
Energy	Energy	Children	10 years PAL=2.0	Male	NA 	10.1 MJ/day	NA 	NA 	NA 	
